Index Number,Cycle Number,Experiment Number,MS Level,Total Ion Current,Scan Start Time (min),Selected Ion m/z
147,20,4,2,30203.113476716,0.102033333333,411.168477785329
148,20,5,2,65750.5767475016,0.10235,414.215309732544
149,20,6,2,170714.8811797,0.102683333333,421.317269196
150,20,7,2,17922.3707945039,0.103,486.285568406775
151,20,8,2,8197.362417863,0.103333333333,773.494057914776
152,20,9,2,14487.83462532,0.10365,784.413788268499
153,21,1,1,2153365.64805,0.105683333333,
154,21,2,2,31682.2825963721,0.106633333333,270.279366381405
155,21,3,2,14373.6529952908,0.10695,285.290175664637
156,21,4,2,40916.309124231,0.107283333333,286.144423448928
157,21,5,2,28307.380271347,0.1076,395.291196709893
158,21,6,2,29480.4032359444,0.107933333333,418.223316541656
159,21,7,2,16818.1532493463,0.10825,449.349053119443
160,21,8,2,9229.49326069095,0.108583333333,585.271813887279
161,21,9,2,8937.18918368773,0.1089,610.18414022053
162,22,1,1,1735188.151229,0.110933333333,
163,22,2,2,8657.78349927659,0.1119,295.188351890684
164,22,3,2,9425.02645992875,0.112233333333,371.31506555453
165,22,4,2,14359.213010431,0.11255,378.266691845104
166,22,5,2,350244.6404654,0.112883333333,393.287239731942
167,22,6,2,37804.5932738921,0.113216666667,434.245654295176
168,22,7,2,2395.42173113477,0.113533333333,445.234729870321
169,22,8,2,7787.89832085164,0.113866666667,744.451818185088
170,22,9,2,7931.81732364755,0.114183333333,788.481554191016
171,23,1,1,1318677.497165,0.1162,
172,23,2,2,376215.3902249,0.117183333333,387.181072609419
173,23,3,2,536434.6958437,0.117516666667,404.207109101978
174,23,4,2,265866.4291967,0.117833333333,409.162843741914
175,23,5,2,242322.0836474,0.118166666667,425.136737318383
176,23,6,2,536371.7881371,0.118483333333,432.238938665798
177,23,7,2,3832.80992209713,0.118816666667,441.191797043916
178,23,8,2,10580.1731861823,0.119133333333,684.202434690583
179,23,9,2,7773.54057354318,0.119466666667,832.503297222347
180,24,1,1,993145.9604376,0.121483333333,
181,24,2,2,8172.21364369012,0.122466666667,267.123311666666
182,24,3,2,81010.5102327485,0.1228,376.260436069405
183,24,4,2,27065.2379586402,0.123133333333,379.151868176335
184,24,5,2,7185.80814548453,0.12345,428.13770279688
185,24,6,2,6194.96754955272,0.123783333333,446.254638388179
186,24,7,2,10561.196044671,0.1241,460.269808420969
187,24,8,2,3154.28417944425,0.124433333333,795.336997913891
188,24,9,2,11926.1129749861,0.12475,811.311161153491
189,25,1,1,854683.2595843,0.126766666667,
190,25,2,2,13577.9620052323,0.127766666667,273.206557505061
191,25,3,2,23759.4240336966,0.128083333333,337.235676352492
192,25,4,2,48592.2582222496,0.128416666667,421.316959722016
193,25,5,2,6862.2499414894,0.128733333333,602.44688237882
194,25,6,2,7649.71149273073,0.129066666667,646.473059843498
195,25,7,2,7088.77781339803,0.129383333333,690.49671293898
196,25,8,2,7425.75792271944,0.129716666667,748.541941659645
197,25,9,2,6402.12595548016,0.130033333333,792.568876533211
198,26,1,1,759244.7222817,0.13205,
199,26,2,2,37016.7286448692,0.133033333333,270.279237566345
200,26,3,2,16131.4998186511,0.133366666667,285.28987215193
201,26,4,2,14086.2096036883,0.1337,293.20755396538
202,26,5,2,20149.3404003289,0.134016666667,309.183313027605
203,26,6,2,91092.4942400384,0.13435,332.278858991962
204,26,7,2,25635.6582297901,0.134666666667,353.208682529219
205,26,8,2,12676.0711237225,0.135,360.310618653387
206,26,9,2,9287.74629584747,0.135316666667,395.125877763108
207,27,1,1,751687.6527952,0.13735,
208,27,2,2,11367.6864316485,0.138333333333,295.188635657185
209,27,3,2,48260.9500187437,0.13865,393.291234370413
210,27,4,2,7400.80474745337,0.138983333333,470.368764220381
211,27,5,2,6121.60073870808,0.139316666667,558.422212849686
212,27,6,2,13183.2587638367,0.139633333333,616.462040366915
213,27,7,2,10099.8183775169,0.139966666667,660.490161303805
214,27,8,2,10649.1868409717,0.140283333333,704.516540501381
215,27,9,2,7121.44369977974,0.140616666667,894.634103509308
216,28,1,1,689880.3382683,0.142633333333,
217,28,2,2,12559.0506227741,0.143616666667,371.316026597323
218,28,3,2,25436.0774462149,0.143933333333,387.1802269825
219,28,4,2,23971.4875724927,0.144266666667,409.16163814111
220,28,5,2,32262.1329821294,0.1446,425.135693748305
221,28,6,2,55026.7791490602,0.144916666667,432.2383260368
222,28,7,2,35212.2076649049,0.14525,542.323900602983
223,28,8,2,10136.9212776358,0.145566666667,684.203256194382
224,28,9,2,7518.22919599057,0.1459,850.609172878972
225,29,1,1,666846.0280378,0.147916666667,
226,29,2,2,14982.6293745469,0.148916666667,468.309985912821
227,29,3,2,20616.4836095082,0.149233333333,518.325180590973
228,29,4,2,9135.53713171028,0.149566666667,529.385251725135
229,29,5,2,9975.71048150761,0.149883333333,551.394786407965
230,29,6,2,7317.28225428586,0.150216666667,572.437279306876
231,29,7,2,8536.89311571422,0.150533333333,573.411771206835
232,29,8,2,10353.7207914868,0.150866666667,762.558903409975
233,29,9,2,9438.54532924655,0.151183333333,806.584233920722
234,30,1,1,714859.6646781,0.153183333333,
235,30,2,2,15767.399117273,0.1542,337.235014614034
236,30,3,2,15909.5974742893,0.154516666667,490.28980622511
237,30,4,2,6336.80706303292,0.15485,528.410828588376
238,30,5,2,3652.95327731422,0.155166666667,540.303737176345
239,30,6,2,12114.4765543984,0.1555,550.279743864329
240,30,7,2,5133.3710545652,0.155816666667,564.30490580941
241,30,8,2,7614.94394090098,0.15615,602.430542166553
242,30,9,2,10352.9356432427,0.156483333333,718.531414353379
243,31,1,1,706766.075544,0.158466666667,
244,31,2,2,36599.4048705271,0.15945,270.279590357275
245,31,3,2,20342.1519937695,0.159783333333,273.206996130849
246,31,4,2,13195.9730074439,0.160116666667,285.290243641041
247,31,5,2,9178.33418752142,0.160433333333,494.324368140946
248,31,6,2,4941.47744276893,0.160766666667,506.26555483233
249,31,7,2,9885.04538619811,0.161083333333,580.416636617212
250,31,8,2,9456.1639077365,0.161416666667,624.441954475896
251,31,9,2,11374.4731873407,0.161733333333,674.507086284987
252,32,1,1,566314.8558518,0.16375,
253,32,2,2,15361.8950380441,0.164733333333,295.187596326178
254,32,3,2,15864.4527842394,0.16505,393.296048263505
255,32,4,2,4965.80484482337,0.165383333333,505.221610291455
256,32,5,2,47740.6763460606,0.165716666667,522.248843395426
257,32,6,2,8637.31648452845,0.166033333333,543.177928968954
258,32,7,2,10015.9456009564,0.166366666667,558.402928573097
259,32,8,2,5939.79756517095,0.166683333333,758.219190129088
260,32,9,2,7675.65452660562,0.167016666667,864.626637501365
261,33,1,1,721031.1321437,0.169016666667,
262,33,2,2,14964.8176933856,0.170016666667,371.315990169809
263,33,3,2,11436.8109523795,0.170333333333,516.307124901188
264,33,4,2,13541.0180088611,0.170666666667,542.324271579011
265,33,5,2,20896.4465384918,0.170983333333,568.339174762741
266,33,6,2,6648.26207059612,0.171316666667,630.479003228338
267,33,7,2,9517.71228959377,0.171633333333,631.450254492124
268,33,8,2,11301.7101285333,0.171966666667,684.202716651156
269,33,9,2,10023.0490173702,0.1723,820.598679973758
270,34,1,1,889808.3284086,0.174316666667,
271,34,2,2,29018.5255519135,0.175316666667,468.308318648504
272,34,3,2,11175.7164301504,0.17565,518.323535760266
273,34,4,2,54619.705667326,0.175966666667,520.339294134878
274,34,5,2,6956.3754180984,0.1763,532.279678042625
275,34,6,2,13360.4520238842,0.176633333333,536.391139488464
276,34,7,2,38148.5848515653,0.17695,544.338005258094
277,34,8,2,25787.6629735463,0.177283333333,590.320798913602
278,34,9,2,9488.8416078112,0.1776,776.572191021201
279,35,1,1,955242.3316883,0.1796,
280,35,2,2,8645.57339911815,0.1806,512.334597590941
281,35,3,2,12234.6107802027,0.180933333333,527.20477589875
282,35,4,2,62442.3213533617,0.18125,550.279965307983
283,35,5,2,11740.8585440883,0.181583333333,565.354571202907
284,35,6,2,30765.5715945136,0.181916666667,566.321791651335
285,35,7,2,1814.21594475036,0.182233333333,606.295198889565
286,35,8,2,11428.4795710627,0.182566666667,653.463003807972
287,35,9,2,9401.19268384714,0.182883333333,675.476514881302
288,36,1,1,962155.3170924,0.1849,
